variable,x,y
anom,-1.3269999623298645,9.361548800370655E-5
anom,-1.3234359624385834,9.361548800370655E-5
anom,-1.3198719625473023,9.361548800370655E-5
anom,-1.316307962656021,9.361548800370655E-5
anom,-1.31274396276474,9.361548800370655E-5
anom,-1.3091799628734588,9.361548800370655E-5
anom,-1.3056159629821777,9.361548800370655E-5
anom,-1.3020519630908967,9.361548800370655E-5
anom,-1.2984879631996156,9.361548800370655E-5
anom,-1.2949239633083343,9.361548800370655E-5
anom,-1.2913599634170532,9.361548800370655E-5
anom,-1.287795963525772,9.361548800370655E-5
anom,-1.284231963634491,9.361548800370655E-5
anom,-1.28066796374321,9.361548800370655E-5
anom,-1.2771039638519288,9.361548800370655E-5
anom,-1.2735399639606475,9.361548800370655E-5
anom,-1.2699759640693664,9.361548800370655E-5
anom,-1.2664119641780853,9.361548800370655E-5
anom,-1.2628479642868042,9.361548800370655E-5
anom,-1.2592839643955231,9.361548800370655E-5
anom,-1.2557199645042418,9.361548800370655E-5
anom,-1.2521559646129607,9.361548800370655E-5
anom,-1.2485919647216797,9.361548800370655E-5
anom,-1.2450279648303986,9.361548800370655E-5
anom,-1.2414639649391175,9.361548800370655E-5
anom,-1.2378999650478364,9.361548800370655E-5
anom,-1.234335965156555,9.361548800370655E-5
anom,-1.230771965265274,9.361548800370655E-5
anom,-1.227207965373993,9.361548800370655E-5
anom,-1.2236439654827118,9.361548800370655E-5
anom,-1.2200799655914307,9.361548800370655E-5
anom,-1.2165159657001496,9.361548800370655E-5
anom,-1.2129519658088683,9.361548800370655E-5
anom,-1.2093879659175872,9.361548800370655E-5
anom,-1.2058239660263061,9.361548800370655E-5
anom,-1.202259966135025,9.361548800370655E-5
anom,-1.198695966243744,9.361548800370655E-5
anom,-1.1951319663524629,9.361548800370655E-5
anom,-1.1915679664611816,9.361548800370655E-5
anom,-1.1880039665699005,9.361548800370655E-5
anom,-1.1844399666786194,9.361548800370655E-5
anom,-1.1808759667873383,9.361548800370655E-5
anom,-1.1773119668960572,9.361548800370655E-5
anom,-1.173747967004776,9.361548800370655E-5
anom,-1.1701839671134948,9.361548800370655E-5
anom,-1.1666199672222137,9.361548800370655E-5
anom,-1.1630559673309326,9.361548800370655E-5
anom,-1.1594919674396515,9.361548800370655E-5
anom,-1.1559279675483705,9.361548800370655E-5
anom,-1.1523639676570891,9.361548800370655E-5
anom,-1.148799967765808,9.361548800370655E-5
anom,-1.145235967874527,9.361548800370655E-5
anom,-1.1416719679832459,9.361548800370655E-5
anom,-1.1381079680919648,9.361548800370655E-5
anom,-1.1345439682006835,9.361548800370655E-5
anom,-1.1309799683094024,9.361548800370655E-5
anom,-1.1274159684181213,9.361548800370655E-5
anom,-1.1238519685268402,9.361548800370655E-5
anom,-1.1202879686355591,9.361548800370655E-5
anom,-1.116723968744278,9.361548800370655E-5
anom,-1.113159968852997,9.361548800370655E-5
anom,-1.1095959689617156,9.361548800370655E-5
anom,-1.1060319690704346,9.361548800370655E-5
anom,-1.1024679691791535,9.361548800370655E-5
anom,-1.0989039692878724,9.361548800370655E-5
anom,-1.095339969396591,9.361548800370655E-5
anom,-1.09177596950531,9.361548800370655E-5
anom,-1.0882119696140289,9.361548800370655E-5
anom,-1.0846479697227478,9.361548800370655E-5
anom,-1.0810839698314667,9.361548800370655E-5
anom,-1.0775199699401856,9.361548800370655E-5
anom,-1.0739559700489045,9.361548800370655E-5
anom,-1.0703919701576232,9.361548800370655E-5
anom,-1.0668279702663421,9.361548800370655E-5
anom,-1.063263970375061,9.361548800370655E-5
anom,-1.05969997048378,9.361548800370655E-5
anom,-1.0561359705924986,9.361548800370655E-5
anom,-1.0525719707012176,9.361548800370655E-5
