variable,x,y
bathy,-5676.4,5.860698001924902E-5
bathy,-5662.4944,5.860698001924902E-5
bathy,-5648.5887999999995,5.860698001924902E-5
bathy,-5634.6831999999995,5.860698001924902E-5
bathy,-5620.777599999999,5.860698001924902E-5
bathy,-5606.871999999999,5.860698001924902E-5
bathy,-5592.966399999999,5.860698001924902E-5
bathy,-5579.060799999999,5.860698001924902E-5
bathy,-5565.155199999999,5.860698001924902E-5
bathy,-5551.249599999999,5.860698001924902E-5
bathy,-5537.344,5.860698001924902E-5
bathy,-5523.4384,5.860698001924902E-5
bathy,-5509.5328,5.860698001924902E-5
bathy,-5495.6272,5.860698001924902E-5
bathy,-5481.7216,5.860698001924902E-5
bathy,-5467.816,5.860698001924902E-5
bathy,-5453.9104,5.860698001924902E-5
bathy,-5440.0048,5.860698001924902E-5
bathy,-5426.0992,5.860698001924902E-5
bathy,-5412.1936,5.860698001924902E-5
bathy,-5398.288,5.860698001924902E-5
bathy,-5384.3823999999995,5.860698001924902E-5
bathy,-5370.4767999999995,5.860698001924902E-5
bathy,-5356.571199999999,5.860698001924902E-5
bathy,-5342.665599999999,5.860698001924902E-5
bathy,-5328.759999999999,5.860698001924902E-5
bathy,-5314.854399999999,5.860698001924902E-5
bathy,-5300.9488,5.860698001924902E-5
bathy,-5287.0432,5.860698001924902E-5
bathy,-5273.1376,5.860698001924902E-5
bathy,-5259.232,5.860698001924902E-5
bathy,-5245.3264,5.860698001924902E-5
bathy,-5231.4208,5.860698001924902E-5
bathy,-5217.5152,5.860698001924902E-5
bathy,-5203.6096,5.860698001924902E-5
bathy,-5189.704,5.860698001924902E-5
bathy,-5175.7984,5.860698001924902E-5
bathy,-5161.8928,5.860698001924902E-5
bathy,-5147.9872,5.860698001924902E-5
bathy,-5134.0815999999995,5.860698001924902E-5
bathy,-5120.1759999999995,5.860698001924902E-5
bathy,-5106.270399999999,5.860698001924902E-5
bathy,-5092.364799999999,5.969360063318163E-5
bathy,-5078.459199999999,6.307642615865916E-5
bathy,-5064.553599999999,6.665176624665037E-5
bathy,-5050.648,7.043088407954201E-5
