variable,x,y
bathy,-5676.4,6.006843577779364E-5
bathy,-5669.4472,6.006843577779364E-5
bathy,-5662.4944,6.006843577779364E-5
bathy,-5655.5416,6.006843577779364E-5
bathy,-5648.5887999999995,6.006843577779364E-5
bathy,-5641.6359999999995,6.006843577779364E-5
bathy,-5634.6831999999995,6.006843577779364E-5
bathy,-5627.7303999999995,6.006843577779364E-5
bathy,-5620.777599999999,6.006843577779364E-5
bathy,-5613.824799999999,6.006843577779364E-5
bathy,-5606.871999999999,6.006843577779364E-5
bathy,-5599.919199999999,6.006843577779364E-5
bathy,-5592.966399999999,6.006843577779364E-5
bathy,-5586.013599999999,6.006843577779364E-5
bathy,-5579.060799999999,6.006843577779364E-5
bathy,-5572.107999999999,6.006843577779364E-5
bathy,-5565.155199999999,6.006843577779364E-5
bathy,-5558.202399999999,6.006843577779364E-5
bathy,-5551.249599999999,6.006843577779364E-5
bathy,-5544.2968,6.006843577779364E-5
bathy,-5537.344,6.006843577779364E-5
bathy,-5530.3912,6.006843577779364E-5
bathy,-5523.4384,6.006843577779364E-5
bathy,-5516.4856,6.006843577779364E-5
bathy,-5509.5328,6.006843577779364E-5
bathy,-5502.58,6.006843577779364E-5
bathy,-5495.6272,6.006843577779364E-5
bathy,-5488.6744,6.006843577779364E-5
bathy,-5481.7216,6.006843577779364E-5
bathy,-5474.7688,6.006843577779364E-5
bathy,-5467.816,6.006843577779364E-5
bathy,-5460.8632,6.006843577779364E-5
bathy,-5453.9104,6.006843577779364E-5
bathy,-5446.9576,6.006843577779364E-5
bathy,-5440.0048,6.006843577779364E-5
bathy,-5433.052,6.006843577779364E-5
bathy,-5426.0992,6.006843577779364E-5
bathy,-5419.1464,6.006843577779364E-5
bathy,-5412.1936,6.006843577779364E-5
bathy,-5405.2408,6.006843577779364E-5
bathy,-5398.288,6.006843577779364E-5
bathy,-5391.3351999999995,6.006843577779364E-5
bathy,-5384.3823999999995,6.006843577779364E-5
bathy,-5377.4295999999995,6.006843577779364E-5
bathy,-5370.4767999999995,6.006843577779364E-5
bathy,-5363.523999999999,6.006843577779364E-5
bathy,-5356.571199999999,6.006843577779364E-5
bathy,-5349.618399999999,6.006843577779364E-5
bathy,-5342.665599999999,6.006843577779364E-5
bathy,-5335.712799999999,6.006843577779364E-5
bathy,-5328.759999999999,6.006843577779364E-5
bathy,-5321.807199999999,6.006843577779364E-5
bathy,-5314.854399999999,6.006843577779364E-5
bathy,-5307.901599999999,6.006843577779364E-5
bathy,-5300.9488,6.006843577779364E-5
bathy,-5293.996,6.006843577779364E-5
bathy,-5287.0432,6.006843577779364E-5
bathy,-5280.0904,6.006843577779364E-5
bathy,-5273.1376,6.006843577779364E-5
bathy,-5266.1848,6.006843577779364E-5
bathy,-5259.232,6.006843577779364E-5
bathy,-5252.2792,6.006843577779364E-5
bathy,-5245.3264,6.006843577779364E-5
bathy,-5238.3736,6.006843577779364E-5
bathy,-5231.4208,6.006843577779364E-5
bathy,-5224.468,6.006843577779364E-5
bathy,-5217.5152,6.006843577779364E-5
